1,0,1,0,1,0,1,0,1,0,1,0
16195218120.146599,1786794114939.613,24307489965.275509,1786794114939.613,25929944334.301289,1786794114939.613,38909579286.50753,1786794114939.613,53511668607.739548,1786794114939.613,72981121036.04892,1786794114939.613
30212030543.153175,3325378661767.7021,45345399105.910622,3325378661767.7021,48372072818.46212,3325378661767.7021,72585462518.874039,3325378661767.7021,99825525931.837463,3325378661767.7021,136145610482.45535,3325378661767.7021
43895579501.485382,4819502908529.0088,65883111320.303337,4819502908529.0088,70280617684.06694,4819502908529.0088,105460668594.17567,4819502908529.0088,145038225868.04803,4819502908529.0088,197808302233.21112,4819502908529.0088
56422573118.867088,6179677397820.7852,84684943404.125961,6179677397820.7852,90337417461.177765,6179677397820.7852,135557209917.592,6179677397820.7852,186429476431.05801,6179677397820.7852,254259165115.67932,6179677397820.7852
67232415623.447708,7346763702662.8916,100909494148.82257,7346763702662.8916,107644909853.89755,7346763702662.8916,161528235494.49741,7346763702662.8916,222146976840.17221,7346763702662.8916,302971965301.07196,7346763702662.8916
77751865834.03096,8475807068774.7891,116698193537.88416,8475807068774.7891,124487459078.6548,8475807068774.7891,186801583404.81989,8475807068774.7891,256904973271.75568,8475807068774.7891,350376159761.0033,8475807068774.7891
87348587298.087784,9499263081953.0938,131101964389.34129,9499263081953.0938,139852639807.59201,9499263081953.0938,209858043153.59772,9499263081953.0938,288614121917.854,9499263081953.0938,393622226936.86261,9499263081953.0938
95599726329.065384,10373499002968.295,143486143331.16507,10373499002968.295,153063426731.58499,10373499002968.295,229681693934.94455,10373499002968.295,315877244538.72394,10373499002968.295,430804645343.76349,10373499002968.295
103597902151.11522,11215126028441.229,155490648432.40836,11215126028441.229,165869197688.66696,11215126028441.229,248897591738.73602,11215126028441.229,342304535045.0636,11215126028441.229,466847126120.16742,11215126028441.229
110862917813.26936,11973871406123.145,166394749507.12,11973871406123.145,177501115845.89008,11973871406123.145,266352046556.05112,11973871406123.145,366309343604.98218,11973871406123.145,499585739670.22406,11973871406123.145
117080942198.67183,12618222897648.186,175727415744.39413,12618222897648.186,187456710453.53854,12618222897648.186,281291068126.69427,12618222897648.186,386854720508.99426,12618222897648.186,527606257018.72833,12618222897648.186
123078826688.49861,13234590695047.387,184729672828.60419,13234590695047.387,197059842056.62518,13234590695047.387,295701195880.79419,13234590695047.387,406672718932.98401,13234590695047.387,554634749669.23792,13234590695047.387
128497084993.85564,13786238528650.488,192861965855.62314,13786238528650.488,205734942027.97653,13786238528650.488,308718751406.8045,13786238528650.488,424575536957.98584,13786238528650.488,579051251026.22827,13786238528650.488
133107657037.88739,14251066659583.787,199781998229.71277,14251066659583.787,213116866468.07773,14251066659583.787,319795812374.99835,14251066659583.787,439809626520.28381,14251066659583.787,599828045380.66516,14251066659583.787
137526955528.77444,14691860196196.762,206414947099.32068,14691860196196.762,220192545413.42987,14691860196196.762,330413331926.30377,14691860196196.762,454411716753.28687,14691860196196.762,619742896522.59814,14691860196196.762
141490751468.26221,15082431171942.146,212364229740.08362,15082431171942.146,226538925394.44781,15082431171942.146,339936490629.36206,15082431171942.146,467508751518.64038,15082431171942.146,637605099371.01208,15082431171942.146
144838020944.57901,15407940440172.895,217388164496.92242,15407940440172.895,231898193207.39099,15407940440172.895,347978422891.14044,15407940440172.895,478568681285.35834,15407940440172.895,652689025810.98279,15407940440172.895
148019538121.47873,15712808515080.594,222163320736.23898,15712808515080.594,236992077259.19092,15712808515080.594,355622129442.80731,15712808515080.594,489080938149.37561,15712808515080.594,667026016424.80042,15712808515080.594
