401832,31925498194;604976,11337691708;645793,27616599831;974825,33510831126;1351068,060565057;1865493,619627658
4364674,9769176273;6857432,5395267755;7391837,4793710317;12236167,203668585;19637082,037675086;28533833,736144725
8530325,04676513;14809845,523888573;16582196,525323566;27915402,620916191;35597837,912828967;43226706,234486192
13306619,420363193;24104115,341004577;25872475,897942979;35250065,385278881;42686173,200805292;50611960,104059555
19588516,221595556;29029414,644306745;30513929,266199499;39373241,186705552;46905579,012372606;55123792,026261769
23551036,29378273;31841687,989564706;33229872,865820412;41938575,037175141;49536004,927907959;57955007,47913032
25813792,835531462;33582925,070465714;34922573,657128647;43529528,423283875;51196590,806094117;59728529,666873753
27208366,544568438;34666213,129425451;35962916,595786773;44485921,449798316;52171958,248928174;60764327,642351672
28076833,059817009;35284150,488299064;36564392,628421947;45017117,437483251;52674142,330151334;61258037,590030298
28581428,060331874;35634239,091115221;36867402,815250829;45229902,163985424;52849805,427463263;61449161,186253853
28867101,771102108;35738266,843924947;36941455,52276355;45210111,848576784;52769064,609418593;61336211,074819341
28961232,787568673;35689987,260525756;36880964,144286968;45069786,461056419;52539591,453345552;61029430,332366019
28940241,777009048;35548356,370960899;36718492,594336621;44798317,804678142;52201167,412654281;60615351,24006217
28844739,655624259;35334257,294545971;36486217,976525404;44446908,570709296;51788337,58226537;60120401,853093527
28693210,221118506;35072754,519147985;36205834,790696733;44058482,171562657;51326878,744161814;59575736,179963015
28504370,326338906;34780890,65555241;35896748,238058984;43648908,840660065;50839182,677409872;59002915,95017343
28292190,986561768;34472998,424109988;35572679,944900878;43228672,680238709;50341166,586004362;58420771,344882064
28067523,947964739;34159961,099686541;35243519,109719299;42810186,476208746;49846248,355824254;57843194,02391284
27839081,164599333;33848458,52419962;34916481,959548056;42400026,756429411;49361211,561660528;57281448,88464278
27611728,128592245;33544486,798106946;34599838,516423807;42005716,214287221;48894369,332432374;56742151,206028737
27390672,771289233;33254553,651118867;34300701,763542965;41631558,782246195;48453763,107640222;56230101,91393742
27181167,840826888;32984263,322822239;34019949,037296474;41281581,422081381;48046054,101950608;55751807,048576847
26986985,038951378;32733716,066033792;33758783,549905442;40957803,586790919;47670065,228177443;55313085,94908563
