1,0052223919451083e-15
1,0577367608680169e-15
1,1117717561379961e-15
1,1672478967263276e-15
1,22407411379948e-15
1,2821461004226457e-15
1,3413433026998376e-15
1,4015451061318268e-15
1,4626133667983937e-15
1,524394885648817e-15
1,5867518010313621e-15
1,6495511496301616e-15
1,7125837707127668e-15
1,7757733120292986e-15
1,8388907082860286e-15
1,9017591745404725e-15
1,9642361661818371e-15
2,0261634629532195e-15
2,0873918380715063e-15
2,1477722420039459e-15
2,207173869661161e-15
2,265465366207136e-15
2,3225554366890542e-15
2,3783362994657497e-15
2,4326928899126131e-15
2,4855102489621138e-15
2,5367426405897976e-15
2,5863685095192214e-15
2,6343231645469102e-15
2,6805419144693905e-15
2,7249860848908363e-15
2,7676998057100944e-15
2,8086735962915875e-15
2,8478920970415052e-15
2,8855977849181464e-15
2,9211921023697378e-15
2,9551836585258313e-15
2,9875724533864265e-15
3,0183584869515238e-15
3,0476065031734132e-15
3,0754118846726413e-15
3,1017754876994734e-15
3,1266973122539103e-15
3,1501773583359515e-15
3,1722727154089239e-15
3,1931900772574987e-15
3,2129481904901041e-15
3,2315470551067399e-15
3,2489866711074059e-15
3,2652865030867852e-15
3,2806502903810515e-15
3,2951323025281378e-15
3,3087325395280438e-15
3,3214510013807695e-15
3,3332890572309542e-15
3,344374549438381e-15
3,3547911406919975e-15
3,3645388309918043e-15
3,3736349666022375e-15
3,3821716550387449e-15
3,3901624116688997e-15
3,3976072364927016e-15
3,4045558412844267e-15
3,4110687926139918e-15
3,4171462347081509e-15
3,4227936894539287e-15
3,4280713168156252e-15
3,4329955969614032e-15
3,4375848625871112e-15
3,4418734648752671e-15
3,445864171720777e-15
3,4495902884539238e-15
3,4530637287324022e-15
3,456295118078963e-15
3,4593103517078903e-15
3,4621163863440811e-15
3,4647345151154275e-15
3,4672533631652175e-15
3,4696950828205162e-15
3,471985294926755e-15
3,4741239994839337e-15
3,4761111964920525e-15
3,4779468859511113e-15
3,4796310678611101e-15
3,4811637422220489e-15
3,4825449090339277e-15
3,4838205041954599e-15
3,4851887238831914e-15
3,4864597082724975e-15
3,4876334573633776e-15
3,4887099711558317e-15
